Player Name,Position,Team,Year Born,Minutes,Ninty Minutes,Goals,Assists,xG,npxG,xA,SoT Percentage,Shots,Shots On Target,Key Passes,Final Third Passes,Progressive Passes,Tackles,Tackles Won,Dribbled Past,Pressures,Pressures Success,Blocks,Interceptions,Clearances,Touches Penalty Area,Dribbles Success,Dribbles,Carries Progressive,Carries Final Third,Dispossessed,Receiving Progressive,Fouls Committed,Fouls Drawn,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won Percent,Aerial Duels Total
eric bailly,DF,Manchester Utd,1994,217.0,2.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.8333333333333334,1.25,3.3333333333333335,1.25,0.4166666666666667,8.75,3.75,2.0833333333333335,3.3333333333333335,4.166666666666667,0.0,0.0,0.8333333333333334,2.0833333333333335,0.0,1.25,0.0,0.8333333333333334,0.0,9.583333333333334,2.0833333333333335,0.8333333333333334,71.4,2.916666666666667
folarin balogun,FW,Arsenal,2001,70.0,0.8,0.0,0.0,0.35,0.35,0.0,0.0,4.824999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.25,6.25,1.25,0.0,1.25,7.5,0.0,2.5,1.25,0.0,2.5,8.75,0.0,1.25,3.75,1.25,2.5,33.3,3.75
patrick bamford,FW,Leeds United,1993,559.0,6.2,0.32,0.32,0.63,0.63,0.15,25.0,0.5193548387096775,0.13064516129032258,0.9677419354838709,0.9677419354838709,1.129032258064516,0.48387096774193544,0.3225806451612903,0.48387096774193544,17.903225806451612,6.129032258064516,0.9677419354838709,0.48387096774193544,1.2903225806451613,5.806451612903226,0.6451612903225806,1.2903225806451613,1.9354838709677418,0.3225806451612903,0.9677419354838709,5.967741935483871,1.129032258064516,1.2903225806451613,3.064516129032258,0.8064516129032258,2.4193548387096775,25.0,3.225806451612903
shandon baptiste,MF,Brentford,1998,890.0,9.9,0.1,0.1,0.07,0.07,0.05,33.3,0.12222222222222222,0.04040404040404041,0.9090909090909091,2.121212121212121,2.0202020202020203,0.7070707070707071,0.40404040404040403,1.0101010101010102,20.505050505050505,6.8686868686868685,1.3131313131313131,1.8181818181818181,1.0101010101010102,2.0202020202020203,1.4141414141414141,1.9191919191919191,4.444444444444445,1.5151515151515151,1.2121212121212122,3.535353535353535,0.7070707070707071,1.4141414141414141,8.181818181818182,1.0101010101010102,2.0202020202020203,33.3,3.0303030303030303
ross barkley,MF,Chelsea,1993,154.0,1.7,0.0,0.0,0.48,0.48,0.32,16.7,2.064705882352941,0.3411764705882353,4.11764705882353,3.5294117647058822,5.882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,8.823529411764707,1.7647058823529411,0.5882352941176471,1.1764705882352942,0.0,4.11764705882353,2.3529411764705883,2.9411764705882355,10.588235294117647,5.882352941176471,3.5294117647058822,11.764705882352942,1.1764705882352942,2.3529411764705883,5.882352941176471,2.9411764705882355,1.1764705882352942,71.4,4.11764705882353
ashley barnes,FW,Burnley,1989,718.0,8.0,0.13,0.0,0.22,0.13,0.12,33.3,0.235,0.07875,1.125,1.75,1.875,1.5,1.125,0.375,17.5,3.625,0.625,0.625,0.5,3.75,0.375,0.875,1.875,0.75,2.375,5.75,2.875,1.625,5.5,4.875,8.375,36.8,13.25
harvey barnes,"FW,MF",Leicester City,1997,2025.0,22.5,0.27,0.4,0.3,0.3,0.16,36.9,0.12844444444444444,0.04755555555555556,1.2444444444444445,1.1555555555555554,3.066666666666667,1.3777777777777778,0.5777777777777777,0.8444444444444444,12.622222222222222,3.8666666666666667,1.1111111111111112,0.4444444444444444,0.26666666666666666,6.177777777777778,1.3333333333333333,3.5555555555555554,8.444444444444445,2.4444444444444446,2.088888888888889,6.844444444444444,0.9333333333333333,1.2,5.555555555555555,1.0222222222222221,2.0444444444444443,33.3,3.0666666666666664
lewis bate,MF,Leeds United,2002,146.0,1.6,0.0,0.0,0.01,0.01,0.0,0.0,0.38749999999999996,0.0,0.0,1.25,2.5,0.625,0.0,3.75,45.625,6.25,1.25,3.125,1.25,0.0,0.625,1.875,1.25,0.625,3.125,1.25,1.25,0.625,10.625,0.625,1.25,33.3,1.875
mads bech sÃ¸rensen,DF,Brentford,1999,765.0,8.5,0.0,0.0,0.01,0.01,0.04,0.0,0.028235294117647056,0.0,0.5882352941176471,2.3529411764705883,1.411764705882353,1.1764705882352942,0.7058823529411765,0.11764705882352941,7.647058823529412,2.823529411764706,1.1764705882352942,0.9411764705882353,3.176470588235294,0.8235294117647058,0.0,0.0,2.235294117647059,0.5882352941176471,0.11764705882352941,0.23529411764705882,1.0588235294117647,0.35294117647058826,10.352941176470589,1.0588235294117647,1.0588235294117647,50.0,2.1176470588235294
jan bednarek,DF,Southampton,1996,2629.0,29.2,0.14,0.0,0.08,0.08,0.02,36.8,0.022260273972602742,0.00821917808219178,0.20547945205479454,2.568493150684932,1.7465753424657535,1.2671232876712328,0.7191780821917808,0.6506849315068494,8.15068493150685,2.6027397260273974,2.191780821917808,3.2534246575342465,5.787671232876712,1.0273972602739727,0.03424657534246575,0.0684931506849315,0.9246575342465754,0.03424657534246575,0.136986301369863,0.136986301369863,1.3013698630136987,0.5821917808219178,11.095890410958905,3.904109589041096,2.0547945205479454,65.5,5.958904109589041
